"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US01003","Baldwin County, Alabama","212477","1136","45480","2207","3065","816","1449","884","8731","1387","14523","1796","11209","1187","5427","1509","1076","565","166997","2417"
"0500000US01015","Calhoun County, Alabama","109744","931","26133","1326","1563","653","1484","662","6095","1255","5129","1123","4972","678","5960","1170","930","607","83611","1411"
"0500000US01043","Cullman County, Alabama","80773","667","17743","994","734","460","547","329","4461","597","4406","909","4571","702","2619","823","405","257","63030","1225"
"0500000US01049","DeKalb County, Alabama","69368","518","15407","813","386","240","700","302","4045","871","4268","970","4354","708","1490","636","164","154","53961","930"
"0500000US01051","Elmore County, Alabama","79270","594","18156","1297","1057","613","546","378","3730","1213","3673","883","5128","1155","3110","1008","912","549","61114","1390"
"0500000US01055","Etowah County, Alabama","99030","560","21227","1401","1066","455","1299","655","5410","691","4805","775","4628","964","3533","1023","486","264","77803","1286"
"0500000US01069","Houston County, Alabama","101281","485","24716","1058","1052","287","1723","431","5310","517","5902","580","5367","431","4425","809","937","305","76565","986"
"0500000US01073","Jefferson County, Alabama","633732","2051","160745","4212","11287","1795","8847","1511","35752","2586","30606","2450","32041","1917","31412","3100","10800","2098","472987","3684"
"0500000US01077","Lauderdale County, Alabama","88952","493","18968","1317","1119","545","742","390","3331","762","3975","690","3828","786","5038","1201","935","443","69984","1246"
"0500000US01081","Lee County, Alabama","158919","1132","57747","3407","3126","1100","1152","604","5561","1320","10855","1558","8227","1632","23440","2556","5386","1582","101172","2928"
"0500000US01083","Limestone County, Alabama","94457","659","26040","1785","1302","607","1584","777","4883","948","5972","1000","6757","1221","4039","1319","1503","892","68417","1729"
"0500000US01089","Madison County, Alabama","353561","1529","95024","3282","4511","1225","6562","1642","17957","1995","15807","1800","19310","1399","24795","2202","6082","1496","258537","3114"
"0500000US01095","Marshall County, Alabama","91278","807","22903","1459","849","445","1234","511","5469","838","5365","882","5946","645","3138","829","902","607","68375","1387"
"0500000US01097","Mobile County, Alabama","398503","1560","98278","3603","6893","1313","4922","1063","22011","2187","21129","2164","22358","1594","16839","2389","4126","1263","300225","3258"
"0500000US01101","Montgomery County, Alabama","216589","1055","56087","2408","2222","644","3019","857","11440","1881","11854","1477","12842","1510","12091","1714","2619","1016","160502","2241"
"0500000US01103","Morgan County, Alabama","114731","1156","27914","2316","1531","673","1920","804","7120","1243","5306","1049","6416","983","5068","1307","553","408","86817","1951"
"0500000US01115","St. Clair County, Alabama","85782","680","20625","1779","1494","722","1808","907","4370","870","5266","1235","4321","646","3024","1221","342","309","65157","1592"
"0500000US01117","Shelby County, Alabama","208523","946","55117","3092","3143","1054","3256","1233","11827","1519","9516","1785","12192","1165","11016","1962","4167","1163","153406","2993"
"0500000US01121","Talladega County, Alabama","77179","548","17253","1491","532","343","562","460","4237","1193","3978","1205","4478","681","3017","1165","449","340","59926","1483"
"0500000US01125","Tuscaloosa County, Alabama","202348","847","63884","2539","3283","952","2579","852","8988","1543","10532","1761","9520","1064","24507","2153","4475","1322","138464","2684"
"0500000US01127","Walker County, Alabama","61914","458","13814","1013","1107","535","1238","661","2811","909","3060","765","3279","636","1880","641","439","396","48100","1184"
"0500000US02020","Anchorage Municipality, Alaska","279911","1112","77592","3083","5225","1189","3469","1011","16671","1669","15117","1769","14966","1269","17571","2312","4573","1130","202319","3159"
"0500000US02090","Fairbanks North Star Borough, Alaska","95049","667","27102","2075","1413","656","1659","639","4453","940","5714","1179","4314","791","8140","1613","1409","615","67947","2098"
"0500000US02170","Matanuska-Susitna Borough, Alaska","103251","451","26576","1065","1453","439","1072","330","6105","649","6435","622","7001","571","3604","763","906","423","76675","1143"
"0500000US04001","Apache County, Arizona","69206","354","18890","808","610","252","1468","444","4930","661","4623","658","4861","605","2305","591","93","93","50316","807"
"0500000US04003","Cochise County, Arizona","123051","803","28564","2100","1755","836","1284","617","7311","1272","5643","1128","6385","799","5571","1700","615","326","94487","2089"
"0500000US04005","Coconino County, Arizona","139222","806","49852","1981","1657","756","2093","612","5945","1027","7986","981","6169","740","23755","2108","2247","1028","89370","1870"
"0500000US04013","Maricopa County, Arizona","4245374","4915","1109890","11743","53212","4027","54502","3951","229102","6769","247831","6838","237397","4689","232136","9880","55710","3798","3135484","11944"
"0500000US04015","Mohave County, Arizona","204416","862","32899","2067","1505","905","1855","746","8566","1562","7552","1239","6323","1216","6374","1539","724","625","171517","2133"
"0500000US04017","Navajo County, Arizona","106204","605","26271","1345","981","403","772","313","7241","981","8152","982","6031","692","2760","978","334","379","79933","1324"
"0500000US04019","Pima County, Arizona","1002894","1740","260232","6131","11508","1629","9898","1695","46300","2640","54855","2643","51001","2512","74174","5352","12496","1933","742662","5869"
"0500000US04021","Pinal County, Arizona","432621","1339","102825","3383","4653","1274","6242","1160","22408","2100","23558","2522","27082","2759","16189","2765","2693","801","329796","3491"
"0500000US04025","Yavapai County, Arizona","226418","834","41059","2036","1856","851","2003","946","8117","1198","9668","1322","8500","990","9775","1489","1140","504","185359","1971"
"0500000US04027","Yuma County, Arizona","202996","1093","54272","2224","3092","962","3676","894","11202","1202","11677","1342","12495","1243","11279","1859","851","412","148724","2325"
"0500000US05007","Benton County, Arkansas","261573","1106","66534","2145","4898","1000","3891","927","16155","1371","16683","1659","14969","1024","8179","1373","1759","604","195039","2037"
"0500000US05031","Craighead County, Arkansas","104311","755","30858","1864","2532","667","1000","624","7262","913","4762","1088","5832","819","6587","1315","2883","1297","73453","1892"
"0500000US05045","Faulkner County, Arkansas","120041","712","34865","2139","1405","639","1561","606","6821","1009","5858","1179","5107","821","11997","1542","2116","740","85176","2176"
"0500000US05051","Garland County, Arkansas","95349","979","19698","1563","924","442","874","678","3929","996","5268","1580","4110","1226","3952","1138","641","516","75651","1396"
"0500000US05069","Jefferson County, Arkansas","65450","575","15455","1107","1031","515","807","413","4131","913","2566","834","3465","707","3019","827","436","263","49995","1058"
"0500000US05085","Lonoke County, Arkansas","71092","510","18089","1248","929","556","1188","822","3170","628","5508","1206","4216","623","2669","862","409","320","53003","1294"
"0500000US05119","Pulaski County, Arkansas","377587","1530","90421","3694","6632","1610","4464","1206","20348","2154","18801","1965","19670","2002","14622","2327","5884","1668","287166","3918"
"0500000US05125","Saline County, Arkansas","117478","423","28656","1704","2118","651","886","459","6453","916","7246","1083","6828","737","4113","1421","1012","544","88822","1702"
"0500000US05131","Sebastian County, Arkansas","123377","779","29279","1604","2242","831","1410","526","7703","1033","6561","1096","6231","599","4533","1452","599","368","94098","1568"
"0500000US05143","Washington County, Arkansas","227673","1119","73297","2546","4572","1065","3391","1084","12039","1546","12892","1240","11706","1381","25241","2201","3456","1236","154376","2246"
"0500000US05145","White County, Arkansas","75689","647","21963","1525","829","440","737","316","3485","691","4477","756","4791","1116","5985","959","1659","831","53726","1472"
"0500000US06001","Alameda County, California","1610760","2410","413190","6292","27610","2331","21704","1998","71158","2838","78742","3592","74662","2664","105968","4494","33346","3438","1197570","6183"
"0500000US06007","Butte County, California","223274","712","64739","2446","3485","840","2314","784","9013","1350","10436","1638","11787","1365","24649","2261","3055","1012","158535","2341"
