"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"0500000US01003","Baldwin County, Alabama","216753","1206","47583","2950","1824","827","3012","1155","9078","1793","12009","2663","11633","2009","8429","2294","1598","801","169170","3041"
"0500000US01015","Calhoun County, Alabama","108929","707","26109","1515","1318","636","1190","509","5500","1227","5794","1317","4287","706","7089","1244","931","490","82820","1425"
"0500000US01043","Cullman County, Alabama","81399","746","18611","1266","1424","623","1099","477","3795","922","4980","970","3857","658","2661","905","795","483","62788","1215"
"0500000US01049","DeKalb County, Alabama","68882","665","17582","1215","793","485","887","547","3750","1156","4585","911","4125","840","3137","970","305","184","51300","1150"
"0500000US01051","Elmore County, Alabama","78142","737","17678","1377","728","475","1153","740","4772","1139","3097","901","4707","955","2433","893","788","592","60464","1219"
"0500000US01055","Etowah County, Alabama","99818","671","22891","1778","1277","598","1418","588","4105","872","6300","854","4543","1022","4786","1206","462","486","76927","1744"
"0500000US01069","Houston County, Alabama","102402","443","25351","1092","1952","421","1258","307","5090","646","5812","694","5733","528","4483","838","1023","419","77051","1082"
"0500000US01073","Jefferson County, Alabama","633528","2128","157128","4281","10159","1948","7509","1542","31327","2847","34221","2796","32359","2202","29234","3068","12319","2217","476400","4453"
"0500000US01077","Lauderdale County, Alabama","90763","613","23464","1729","809","489","481","352","3715","798","5576","1068","5649","1253","6684","1554","550","416","67299","1593"
"0500000US01081","Lee County, Alabama","159453","1587","59113","3824","3546","1269","3197","1492","8962","2638","5463","1235","8282","1726","23978","2380","5685","1887","100340","2828"
"0500000US01083","Limestone County, Alabama","96320","835","21757","2052","1513","744","957","526","4471","969","5559","823","5817","1095","2685","1054","755","443","74563","1875"
"0500000US01089","Madison County, Alabama","360091","1741","92393","3294","5256","1299","4641","1400","16501","2039","19293","1982","18022","1568","21946","2522","6734","1836","267698","3314"
"0500000US01095","Marshall County, Alabama","93005","700","23791","1287","1474","591","1891","1112","4986","1123","4873","1075","6542","979","3525","902","500","374","69214","1286"
"0500000US01097","Mobile County, Alabama","396526","1520","92804","3206","4286","1305","6017","1604","18582","2360","22600","2353","21082","1467","17522","2218","2715","857","303722","3271"
"0500000US01101","Montgomery County, Alabama","218943","1319","60947","3272","4930","1617","2892","908","12422","1955","12037","1923","11240","1182","12076","2646","5350","1618","157996","3070"
"0500000US01103","Morgan County, Alabama","114628","755","25426","1375","1283","450","1308","666","5786","1062","6839","1274","5796","1065","4124","1038","290","205","89202","1288"
"0500000US01115","St. Clair County, Alabama","85843","861","18330","1533","476","364","1047","673","4618","884","4021","985","4777","1201","3138","1194","253","272","67513","1551"
"0500000US01117","Shelby County, Alabama","210898","1220","55299","2526","3592","1062","1663","564","11954","1486","12822","1394","12247","967","10013","1736","3008","1071","155599","2291"
"0500000US01121","Talladega County, Alabama","76892","675","16990","1178","615","382","809","649","2984","1208","4174","1317","4827","1093","3220","847","361","297","59902","1317"
"0500000US01125","Tuscaloosa County, Alabama","201549","1377","60207","4614","2956","972","2262","870","9324","1223","9181","1493","10238","1596","22813","3328","3433","1179","141342","4226"
"0500000US01127","Walker County, Alabama","61147","725","12879","1090","515","406","758","467","3028","825","3806","1125","2666","590","1902","592","204","174","48268","1118"
"0500000US02020","Anchorage Municipality, Alaska","276008","1145","72454","3626","4883","1308","5423","1312","15254","1654","13411","1776","13815","1360","15816","2345","3852","1179","203554","3510"
"0500000US02090","Fairbanks North Star Borough, Alaska","92916","682","26355","2151","1736","714","949","555","5812","1105","4705","1122","4355","1017","6888","1683","1910","811","66561","1947"
"0500000US02170","Matanuska-Susitna Borough, Alaska","104303","554","27273","1257","1437","412","1785","441","6599","704","5843","789","6643","614","3874","795","1092","464","77030","1174"
"0500000US04001","Apache County, Arizona","69265","637","19439","1255","938","439","1378","467","4446","1066","4377","906","5136","894","2821","758","343","281","49826","1031"
"0500000US04003","Cochise County, Arizona","121949","795","29796","1808","1941","675","1652","813","6186","934","6185","1307","6431","733","6018","1473","1383","626","92153","1692"
"0500000US04005","Coconino County, Arizona","139384","761","51112","1942","2364","853","1546","736","6268","1139","6864","1158","5942","878","25791","2104","2337","985","88272","1842"
"0500000US04013","Maricopa County, Arizona","4328828","5490","1109240","11098","56733","4053","55692","4516","221526","6897","249858","6487","246960","5626","220168","9615","58303","4903","3219588","11939"
"0500000US04015","Mohave County, Arizona","206587","987","36087","2258","1726","826","2190","905","7537","1141","10051","1237","7235","1205","5388","1382","1960","1085","170500","2254"
"0500000US04017","Navajo County, Arizona","106805","598","26925","1386","1107","520","1779","545","6491","868","6608","803","7665","991","2642","873","633","460","79880","1404"
"0500000US04019","Pima County, Arizona","1015663","2305","259244","5119","14056","2286","10714","1579","48680","3748","49808","3762","51004","2825","69026","5116","15956","2265","756419","5327"
"0500000US04021","Pinal County, Arizona","449319","1395","102732","3884","4664","1514","3624","1018","24162","3088","25701","2690","24632","2169","17966","3213","1983","967","346587","4087"
"0500000US04025","Yavapai County, Arizona","230383","811","47465","2345","3141","1018","1377","677","8687","1701","9764","1430","9684","1432","13778","2143","1034","556","182918","2162"
"0500000US04027","Yuma County, Arizona","205968","1413","54610","2707","2961","1239","2942","1099","12820","1685","11812","1596","12367","1828","10579","1985","1129","680","151358","2897"
"0500000US05007","Benton County, Arkansas","269756","1337","72117","2413","4290","907","3541","1011","19248","1908","15066","1623","15546","1437","11783","2093","2643","782","197639","2762"
"0500000US05031","Craighead County, Arkansas","107112","918","31348","2176","3541","1029","1730","739","4973","980","5808","1214","5121","1123","8900","1548","1275","630","75764","2182"
"0500000US05045","Faulkner County, Arkansas","122595","722","37236","2376","2085","624","1366","650","7283","1443","6979","1523","6355","1087","11707","2032","1461","730","85359","2346"
"0500000US05051","Garland County, Arkansas","96793","924","18480","1395","1313","616","1174","596","4170","1201","4366","965","3753","698","2956","1112","748","520","78313","1560"
"0500000US05069","Jefferson County, Arkansas","64401","415","16052","1428","730","464","618","610","3910","1117","2445","950","3606","687","3816","1295","927","593","48349","1511"
"0500000US05085","Lonoke County, Arkansas","70563","599","17543","1081","1083","551","479","375","4024","860","3897","977","5140","883","2263","800","657","348","53020","1240"
"0500000US05119","Pulaski County, Arkansas","378179","1648","98857","4356","8621","1942","5792","1680","20185","2019","19262","1899","19035","1956","16883","2931","9079","2202","279322","3913"
"0500000US05125","Saline County, Arkansas","118673","641","26839","1696","1690","692","1706","810","5669","1108","6269","1235","7214","1408","3405","1109","886","526","91834","1681"
"0500000US05131","Sebastian County, Arkansas","123114","812","32621","2260","2068","790","1997","1181","6738","1212","7162","1229","6728","1034","6786","2084","1142","527","90493","2247"
"0500000US05143","Washington County, Arkansas","230260","1205","75424","3704","4716","1290","3255","1206","13236","2001","11927","2077","13511","1798","23689","3147","5090","1297","154836","3635"
"0500000US05145","White County, Arkansas","75773","661","20044","1231","762","597","1081","500","3756","755","4714","1000","3769","727","5387","838","575","396","55729","1254"
"0500000US06001","Alameda County, California","1613494","2369","410399","5968","26682","2095","20974","2443","69723","3540","76112","4100","77906","2937","105735","4367","33267","3555","1203095","6183"
"0500000US06007","Butte County, California","210574","944","60729","2427","2036","792","2423","914","10595","1533","9765","1438","10059","938","24304","2290","1547","620","149845","2588"
"0500000US06013","Contra Costa County, California","1116596","2131","291133","5492","19411","2301","14268","2352","59124","3665","54703","3551","69034","3223","64938","4206","9655","1868","825463","5364"
"0500000US06017","El Dorado County, California","188120","1015","41680","2188","3187","973","3122","1089","6917","1103","10259","1586","8876","767","8676","1662","643","351","146440","2141"
"0500000US06019","Fresno County, California","956284","2461","300979","5494","13611","2047","17033","2796","62945","3456","66634","4085","65710","2421","65272","3697","9774","1769","655305","5066"
"0500000US06023","Humboldt County, California","132071","550","35376","1987","1980","529","2525","666","5354","982","6142","943","4257","663","13135","1920","1983","746","96695","1981"
"0500000US06025","Imperial County, California","173145","1798","55760","2898","4584","1505","3348","1413","10388","1810","12109","1628","14529","1524","10226","1930","576","344","117385","2393"
"0500000US06029","Kern County, California","861611","2544","268457","5615","14437","2407","19121","2887","53791","4440","60228","4236","64690","2707","48038","4209","8152","1866","593154","5312"
"0500000US06031","Kings County, California","145568","1166","45620","2191","2172","773","2502","781","6792","1038","11076","1203","11564","1165","10683","1533","831","507","99948","2094"
"0500000US06033","Lake County, California","61539","626","13299","1453","532","441","626","528","3119","784","3147","634","3602","1104","2043","840","230","264","48240","1549"
"0500000US06037","Los Angeles County, California","9704924","6502","2560950","14074","151603","5391","120021","5988","451736","9120","490645","9466","512945","6183","681572","12175","152428","7555","7143974","14615"
"0500000US06039","Madera County, California","151013","1109","47271","2056","1415","762","3098","833","10725","1499","7377","1390","12874","1264","10617","1818","1165","762","103742","1984"
"0500000US06041","Marin County, California","252415","888","58064","2542","2889","742","4419","1200","9126","1204","11681","1571","15207","2014","11656","1488","3086","1559","194351","2476"
"0500000US06045","Mendocino County, California","84527","888","20402","1395","1211","640","605","627","4397","923","5008","858","3794","1018","4509","1134","878","539","64125","1553"
"0500000US06047","Merced County, California","264673","1278","84174","3271","3232","940","5325","1308","16981","1977","19657","2036","17966","1320","19672","2951","1341","587","180499","3107"
"0500000US06053","Monterey County, California","416354","1604","123121","3240","7218","1682","6771","1486","24689","2229","24219","2411","30228","2528","25967","2377","4029","944","293233","3350"
"0500000US06055","Napa County, California","133940","663","31381","1879","1734","661","1524","602","5005","1002","7333","1079","7531","711","6840","1363","1414","502","102559","1837"
"0500000US06057","Nevada County, California","96420","977","16146","1476","1279","525","603","326","3354","849","3574","600","3932","637","2691","1021","713","446","80274","1463"
"0500000US06059","Orange County, California","3068735","4624","836849","10058","58212","4758","36052","3540","148803","5088","153536","4607","166261","3780","227588","7801","46397","3869","2231886","9909"
"0500000US06061","Placer County, California","386631","1262","90214","2988","6186","1341","5532","1263","19061","2383","19870","2056","22147","1351","14688","1922","2730","970","296417","2593"
"0500000US06065","Riverside County, California","2381437","3594","674966","8021","28375","2768","31607","3256","128938","5549","153496","6147","149774","3865","156491","6823","26285","3157","1706471","7997"
"0500000US06067","Sacramento County, California","1496545","2707","407741","6041","24358","2479","22288","2320","80940","4454","78601","4577","82585","2982","100108","5190","18861","1922","1088804","6146"
"0500000US06071","San Bernardino County, California","2093445","4043","619576","9080","33356","3627","27933","3718","126320","5325","126279","5368","137999","3985","136183","6387","31506","3765","1473869","7801"
"0500000US06073","San Diego County, California","3220151","3816","851945","9148","48730","4527","39793","3641","151209","6477","155481","6586","164279","5473","240341","9066","52112","4095","2368206","10519"
"0500000US06075","San Francisco County, California","857412","1818","164113","5413","12527","2019","5978","1234","25767","2376","23881","2522","22613","1680","51821","3487","21526","3185","693299","5472"
"0500000US06077","San Joaquin County, California","732515","2057","222889","4497","11860","1735","8755","1572","47040","2778","49061","2626","49272","2423","48417","4011","8484","1319","509626","4840"
"0500000US06079","San Luis Obispo County, California","276020","1209","75133","2560","3396","999","2606","969","9993","1403","13393","1664","11119","954","32244","2827","2382","691","200887","2647"
"0500000US06081","San Mateo County, California","741869","1655","175544","3892","12803","1635","11084","1846","32512","2068","34357","2240","35848","2363","37072","3800","11868","1878","566325","3713"
"0500000US06083","Santa Barbara County, California","430641","1751","135149","3251","5701","1370","4693","997","22724","2162","21290","2109","22363","1751","50891","3026","7487","1826","295492","3368"
"0500000US06085","Santa Clara County, California","1865801","3147","497626","7265","38967","3075","22976","2537","84125","3489","96262","3646","100360","2972","118264","5075","36672","4134","1368175","6858"
"0500000US06087","Santa Cruz County, California","265824","1269","80223","3247","5007","1382","1832","672","12848","1754","10456","1677","12904","1481","32497","2768","4679","1188","185601","2934"
"0500000US06089","Shasta County, California","173667","614","40899","1923","2092","551","3112","993","8682","1203","7866","1164","8430","1000","9444","1804","1273","566","132768","2011"
"0500000US06095","Solano County, California","433041","1371","109346","3239","5889","1295","6206","1453","21964","1790","22469","2181","21675","1288","25965","3182","5178","1406","323695","3590"
"0500000US06097","Sonoma County, California","481921","1492","113552","3285","7272","1469","6132","1314","19982","1988","19411","1997","26978","1806","29657","2959","4120","833","368369","3498"
"0500000US06099","Stanislaus County, California","527815","1726","150879","3898","9018","1811","6210","1094","32253","2271","34607","2848","34466","1948","30136","2821","4189","1327","376936","4081"
"0500000US06101","Sutter County, California","93977","680","26396","1349","1551","492","1878","649","5431","1104","5471","1135","6006","736","5510","1118","549","338","67581","1468"
"0500000US06103","Tehama County, California","63308","951","16788","1528","1171","695","722","635","2655","679","4240","1014","4283","965","3693","1375","24","44","46520","1570"
"0500000US06107","Tulare County, California","442657","1776","141310","4142","6721","1956","8443","1887","29576","3067","35148","3463","32292","2342","25763","3768","3367","992","301347","4063"
"0500000US06111","Ventura County, California","821038","2073","214633","4379","12768","2073","8520","1513","37941","2432","48014","2664","49246","2292","51503","3735","6641","1483","606405","4595"
"0500000US06113","Yolo County, California","213531","902","81710","2629","2978","711","2885","790","10190","1423","8440","1255","12422","1561","35718","3207","9077","1905","131821","2833"
"0500000US06115","Yuba County, California","75239","815","21901","1764","1826","920","1724","805","5348","918","3340","989","3394","685","5179","1197","1090","574","53338","1753"
"0500000US08001","Adams County, Colorado","496190","1822","132161","3127","8560","1696","7473","1589","33336","3141","28453","2751","30614","2086","18877","2526","4848","1046","364029","3216"
"0500000US08005","Arapahoe County, Colorado","634053","1459","160613","3831","11181","1437","11046","1960","29335","2460","37248","2681","35331","1912","26534","2452","9938","1636","473440","3851"
"0500000US08013","Boulder County, Colorado","318092","964","97668","3241","5420","1145","3232","1010","12516","1469","16453","1440","16444","1240","35362","2600","8241","1327","220424","3118"
"0500000US08014","Broomfield County, Colorado","68504","453","16705","994","1354","391","766","389","3165","701","4011","734","3953","455","2966","852","490","262","51799","909"
"0500000US08031","Denver County, Colorado","703027","1598","155252","4478","13786","2008","7327","1571","28618","2575","30997","2744","26556","1695","30656","2825","17312","2873","547775","4480"
"0500000US08035","Douglas County, Colorado","340104","1073","95653","2730","6676","1083","3850","893","18274","1785","23237","1966","24988","1528","14456","2059","4172","1013","244451","2485"
"0500000US08041","El Paso County, Colorado","695155","1839","193012","4397","10427","1791","10097","1811","39764","2463","36727","2800","37663","1925","45813","3357","12521","2055","502143","4816"
"0500000US08059","Jefferson County, Colorado","565688","1121","127014","3417","9225","1187","5633","1230","24325","1865","27583","1410","25353","1298","27400","2538","7495","1469","438674","3396"
"0500000US08069","Larimer County, Colorado","346918","1198","100388","4059","6205","1453","3522","806","13011","1789","18129","2109","16301","1149","35069","3820","8151","2073","246530","3922"
"0500000US08077","Mesa County, Colorado","148563","640","35103","1908","1796","686","1665","821","7512","1375","8213","1167","7210","844","8178","1596","529","303","113460","1796"
"0500000US08101","Pueblo County, Colorado","162627","854","40068","1753","1984","716","1630","714","8830","1338","9282","896","8640","721","8103","1500","1599","603","122559","1801"
"0500000US08123","Weld County, Colorado","311188","1293","89413","2770","6591","1257","5643","1134","17833","1661","18542","1406","19249","1381","18919","2172","2636","658","221775","2794"
"0500000US09001","Fairfield County, Connecticut","913479","1967","246040","4531","15858","2217","12295","1924","45693","2993","51935","3456","55572","2409","53133","3755","11554","1916","667439","4289"
"0500000US09003","Hartford County, Connecticut","864473","2231","220717","4919","13249","2056","11549","1942","42046","3085","40727","3117","49644","1902","48201","3270","15301","2672","643756","4911"
"0500000US09005","Litchfield County, Connecticut","176418","918","36583","1820","2460","1099","1481","720","6619","1202","7860","1278","9367","863","6532","1314","2264","792","139835","1750"
"0500000US09007","Middlesex County, Connecticut","159240","767","36991","1913","1442","517","1644","835","6531","1061","7494","1090","7875","794","9194","1514","2811","937","122249","1827"
"0500000US09009","New Haven County, Connecticut","829140","1865","212536","4672","12422","1937","10067","1949","38368","3339","36477","3057","45189","2657","52801","3689","17212","2715","616604","4706"
"0500000US09011","New London County, Connecticut","257489","858","58017","2582","3594","803","2845","843","8981","1147","12286","1319","14900","1307","11645","1750","3766","908","199472","2383"
"0500000US09013","Tolland County, Connecticut","147053","673","44667","2311","2158","698","1476","534","5948","936","6085","1052","5768","850","19821","1550","3411","1051","102386","2258"
"0500000US09015","Windham County, Connecticut","114324","715","26553","1802","1145","441","1461","657","4882","1305","4931","1138","6095","976","7135","1486","904","506","87771","2091"
"0500000US10001","Kent County, Delaware","174833","1064","44386","2490","2009","758","2981","1052","8540","1236","8765","1400","8985","1002","10272","1775","2834","1222","130447","2490"
