"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US04025","Yavapai County, Arizona","222012","901","44822","2687","2712","891","2204","787","8078","1334","8585","1293","8405","976","13041","2399","1797","884","177190","2827"
"0500000US04027","Yuma County, Arizona","198929","1325","54223","2895","2665","1070","2395","803","12075","1659","11041","1676","12519","1268","12099","1852","1429","628","144706","2544"
"0500000US05007","Benton County, Arkansas","255478","1036","65940","2124","2832","729","4170","1155","15431","1564","18151","1660","14300","1137","9598","1688","1458","563","189538","2301"
"0500000US05031","Craighead County, Arkansas","102565","725","29711","1712","2738","957","1120","688","5942","862","5765","1102","4803","486","8181","1438","1162","662","72854","1609"
"0500000US05045","Faulkner County, Arkansas","118985","823","38336","2265","2166","825","2301","818","7288","1149","5652","837","6444","981","11768","2174","2717","1214","80649","1956"
"0500000US05051","Garland County, Arkansas","95829","694","22966","2274","1244","622","1175","692","5133","1130","4187","1170","4923","958","6098","1954","206","262","72863","2192"
"0500000US05069","Jefferson County, Arkansas","67021","736","18986","1180","1727","549","519","379","3939","1037","3245","795","4607","791","4402","968","547","346","48035","1092"
"0500000US05085","Lonoke County, Arkansas","70249","593","18193","1194","1259","593","931","471","4170","697","4129","898","4433","512","2607","886","664","346","52056","1034"
"0500000US05119","Pulaski County, Arkansas","378282","1724","95188","3632","7745","1630","5779","1270","21420","2269","18566","2375","17999","1248","15327","2409","8352","1952","283094","3678"
"0500000US05125","Saline County, Arkansas","116126","745","30337","2338","1943","680","2185","993","6319","1286","6554","1249","5761","602","6341","1780","1234","742","85789","2352"
