"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US01003","Baldwin County, Alabama","198972","1292","44872","1983","3232","1075","1876","829","11624","1643","10204","1580","10350","995","6264","1734","1322","707","154100","2100"
"0500000US01015","Calhoun County, Alabama","111569","554","27912","1531","1966","736","2090","722","4676","981","6509","1332","5815","836","6154","1119","702","512","83657","1594"
"0500000US01043","Cullman County, Alabama","78671","508","16371","1074","276","246","674","421","3582","745","4675","735","3877","494","3119","764","168","137","62300","1073"
"0500000US01049","DeKalb County, Alabama","68262","404","15745","1062","309","252","1485","603","4195","825","3684","900","4499","606","1495","622","78","131","52517","1090"
"0500000US01051","Elmore County, Alabama","78832","666","18729","1793","1475","699","756","433","3558","902","4689","1007","4657","973","2716","838","878","490","60103","1823"
"0500000US01055","Etowah County, Alabama","99881","781","22330","1270","1303","579","1586","609","4141","907","5864","833","4975","632","3876","906","585","334","77551","1237"
"0500000US01069","Houston County, Alabama","100683","451","24582","855","1246","350","1240","300","5588","617","5864","594","5581","428","4344","697","719","224","76101","792"
"0500000US01073","Jefferson County, Alabama","636824","1575","164242","4547","12828","1988","10222","1767","33011","2834","32416","2558","32832","1575","34759","3504","8174","1626","472582","4335"
"0500000US01077","Lauderdale County, Alabama","89521","507","21523","1663","1286","540","840","487","4373","930","3725","1017","3805","516","7084","1361","410","313","67998","1699"
"0500000US01081","Lee County, Alabama","152084","1101","53689","2929","1908","813","2439","1133","7106","1242","7337","1208","7520","1002","23416","2659","3963","1402","98395","3298"
"0500000US01083","Limestone County, Alabama","89133","640","23913","1428","953","472","938","487","5205","945","4537","825","6560","1198","5108","1511","612","402","65220","1497"
"0500000US01089","Madison County, Alabama","340031","1322","91127","3671","5221","1086","3937","1055","17915","2112","17770","1886","19150","1433","21679","2637","5455","1309","248904","3336"
"0500000US01095","Marshall County, Alabama","91004","731","23688","1404","1104","501","1042","406","5606","1101","5708","1055","5784","697","4294","1105","150","84","67316","1447"
"0500000US01097","Mobile County, Alabama","399090","1558","103740","3224","6440","1513","6094","1352","21699","2111","20466","2169","23883","1653","20202","2074","4956","1346","295350","2974"
"0500000US01101","Montgomery County, Alabama","217438","1147","58931","2756","2516","845","3860","922","12931","1402","11509","1431","11300","1189","13027","2069","3788","1036","158507","2597"
"0500000US01103","Morgan County, Alabama","114616","842","26710","1732","1343","640","2227","941","6087","1228","5447","1404","7225","942","3718","998","663","339","87906","1454"
"0500000US01115","St. Clair County, Alabama","83737","718","19261","1733","624","439","1441","643","4501","957","4938","945","4790","809","2694","1078","273","324","64476","1465"
"0500000US01117","Shelby County, Alabama","201951","1017","56301","2222","3460","980","2647","846","12956","1223","10561","1362","12235","1112","12001","1790","2441","748","145650","2042"
"0500000US01121","Talladega County, Alabama","78176","577","18250","1327","1180","564","981","578","4183","789","4030","799","5098","772","2542","776","236","180","59926","1033"
"0500000US01125","Tuscaloosa County, Alabama","196535","969","60787","2686","1922","610","1631","595","8921","1480","9701","1461","9109","1219","26683","2180","2820","965","135748","2679"
"0500000US01127","Walker County, Alabama","62895","448","13872","837","591","408","547","333","3594","732","2564","510","3622","652","2510","668","444","352","49023","871"
"0500000US02020","Anchorage Municipality, Alaska","284581","1319","78116","3376","4583","1105","3591","1099","14181","1599","12902","1729","16486","1465","21185","2723","5188","1078","206465","3369"
"0500000US02090","Fairbanks North Star Borough, Alaska","94813","654","28491","2006","449","312","1356","561","5047","944","5374","946","5505","1009","8504","1600","2256","755","66322","1990"
"0500000US02170","Matanuska-Susitna Borough, Alaska","96683","487","26216","1046","1008","320","1752","429","5819","540","6267","714","6804","699","3996","806","570","226","70467","1120"
"0500000US04001","Apache County, Arizona","68235","759","19731","1258","1283","490","1132","358","4794","737","5041","986","4548","533","2773","617","160","124","48504","987"
"0500000US04003","Cochise County, Arizona","121585","641","27003","1347","1155","472","2079","716","5478","830","5743","985","6826","794","4758","1046","964","673","94582","1395"
"0500000US04005","Coconino County, Arizona","134749","617","48026","2229","2542","741","2030","617","6313","871","5564","733","6352","803","23010","2060","2215","661","86723","2192"
"0500000US04013","Maricopa County, Arizona","4008423","3624","1095348","10751","49414","2925","52576","3419","238054","5121","231017","6287","235708","4836","239166","8321","49413","4034","2913075","10484"
"0500000US04015","Mohave County, Arizona","199285","852","36061","2017","2355","925","1376","546","9495","1250","8737","1168","8531","1111","5290","1363","277","224","163224","1895"
"0500000US04017","Navajo County, Arizona","103425","517","28487","1416","1828","524","1791","562","7812","755","6382","865","6434","899","3556","881","684","303","74938","1409"
"0500000US04019","Pima County, Arizona","973585","1876","260533","4794","12318","1965","12291","1979","50474","2693","45029","2423","53126","2430","72803","4146","14492","2109","713052","4982"
"0500000US04021","Pinal County, Arizona","392015","1313","93801","2973","2987","819","6280","1415","22979","1670","22483","1931","20882","1321","14680","2490","3510","834","298214","2950"
"0500000US04025","Yavapai County, Arizona","216413","882","43066","2344","2477","748","1610","707","8530","1365","10053","1242","7959","1171","11254","1935","1183","723","173347","2201"
"0500000US04027","Yuma County, Arizona","195644","1169","50371","2112","2646","981","2733","777","12275","1548","10917","1652","12000","1319","9022","1649","778","409","145273","2422"
"0500000US05007","Benton County, Arkansas","239568","1040","63679","1807","3810","950","3316","865","16544","1677","14741","1458","14160","1240","9554","1425","1554","544","175889","1914"
"0500000US05031","Craighead County, Arkansas","99131","646","30769","1652","1895","684","1862","744","4918","1283","5397","956","5943","1169","8971","1449","1783","597","68362","1525"
