"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US36089","St. Lawrence County, New York","109623","*****"
"0500000US36091","Saratoga County, New York","229869","*****"
"0500000US36093","Schenectady County, New York","155565","*****"
"0500000US36101","Steuben County, New York","96281","*****"
"0500000US36103","Suffolk County, New York","1492953","*****"
"0500000US36105","Sullivan County, New York","75485","*****"
"0500000US36109","Tompkins County, New York","104802","*****"
"0500000US36111","Ulster County, New York","179417","*****"
"0500000US36113","Warren County, New York","64532","*****"
"0500000US36117","Wayne County, New York","90670","*****"
"0500000US36119","Westchester County, New York","980244","*****"
"0500000US37001","Alamance County, North Carolina","162391","*****"
"0500000US37019","Brunswick County, North Carolina","130897","*****"
"0500000US37021","Buncombe County, North Carolina","257607","*****"
"0500000US37023","Burke County, North Carolina","89293","*****"
"0500000US37025","Cabarrus County, North Carolina","206872","*****"
"0500000US37027","Caldwell County, North Carolina","81981","*****"
"0500000US37031","Carteret County, North Carolina","68881","*****"
"0500000US37035","Catawba County, North Carolina","157974","*****"
"0500000US37037","Chatham County, North Carolina","71472","*****"
"0500000US37045","Cleveland County, North Carolina","97334","*****"
"0500000US37049","Craven County, North Carolina","102578","*****"
"0500000US37051","Cumberland County, North Carolina","332546","*****"
"0500000US37057","Davidson County, North Carolina","165466","*****"
"0500000US37063","Durham County, North Carolina","311640","*****"
"0500000US37067","Forsyth County, North Carolina","376320","*****"
"0500000US37069","Franklin County, North Carolina","66168","*****"
"0500000US37071","Gaston County, North Carolina","220182","*****"
"0500000US37081","Guilford County, North Carolina","526953","*****"
"0500000US37085","Harnett County, North Carolina","132754","*****"
"0500000US37089","Henderson County, North Carolina","115708","*****"
"0500000US37097","Iredell County, North Carolina","175711","*****"
"0500000US37101","Johnston County, North Carolina","196708","*****"
"0500000US37109","Lincoln County, North Carolina","82403","*****"
"0500000US37119","Mecklenburg County, North Carolina","1076837","*****"
"0500000US37125","Moore County, North Carolina","97264","*****"
"0500000US37127","Nash County, North Carolina","93991","*****"
"0500000US37129","New Hanover County, North Carolina","227198","*****"
"0500000US37133","Onslow County, North Carolina","193893","*****"
"0500000US37135","Orange County, North Carolina","144946","*****"
"0500000US37147","Pitt County, North Carolina","179042","*****"
"0500000US37151","Randolph County, North Carolina","143282","*****"
"0500000US37155","Robeson County, North Carolina","132606","*****"
"0500000US37157","Rockingham County, North Carolina","90949","*****"
"0500000US37159","Rowan County, North Carolina","140644","*****"
"0500000US37161","Rutherford County, North Carolina","66551","*****"
"0500000US37171","Surry County, North Carolina","72224","*****"
"0500000US37179","Union County, North Carolina","231366","*****"
"0500000US37183","Wake County, North Carolina","1072203","*****"
"0500000US37191","Wayne County, North Carolina","124172","*****"
"0500000US37193","Wilkes County, North Carolina","68576","*****"
"0500000US37195","Wilson County, North Carolina","81671","*****"
"0500000US38015","Burleigh County, North Dakota","95030","*****"
"0500000US38017","Cass County, North Dakota","177787","*****"
"0500000US38035","Grand Forks County, North Dakota","70795","*****"
"0500000US38101","Ward County, North Dakota","68946","*****"
"0500000US39003","Allen County, Ohio","103198","*****"
"0500000US39007","Ashtabula County, Ohio","97807","*****"
"0500000US39009","Athens County, Ohio","66597","*****"
"0500000US39013","Belmont County, Ohio","68029","*****"
"0500000US39017","Butler County, Ohio","380604","*****"
"0500000US39023","Clark County, Ohio","134557","*****"
"0500000US39025","Clermont County, Ohio","204214","*****"
"0500000US39029","Columbiana County, Ohio","103077","*****"
"0500000US39035","Cuyahoga County, Ohio","1248514","*****"
"0500000US39041","Delaware County, Ohio","200464","*****"
"0500000US39043","Erie County, Ohio","74817","*****"
"0500000US39045","Fairfield County, Ohio","154733","*****"
"0500000US39049","Franklin County, Ohio","1291981","*****"
"0500000US39055","Geauga County, Ohio","93918","*****"
"0500000US39057","Greene County, Ohio","166752","*****"
"0500000US39061","Hamilton County, Ohio","813822","*****"
"0500000US39063","Hancock County, Ohio","75754","*****"
"0500000US39081","Jefferson County, Ohio","66359","*****"
"0500000US39085","Lake County, Ohio","230117","*****"
"0500000US39089","Licking County, Ohio","173448","*****"
"0500000US39093","Lorain County, Ohio","307924","*****"
"0500000US39095","Lucas County, Ohio","430887","*****"
"0500000US39099","Mahoning County, Ohio","229796","*****"
"0500000US39101","Marion County, Ohio","64967","*****"
"0500000US39103","Medina County, Ohio","178371","*****"
"0500000US39109","Miami County, Ohio","105122","*****"
"0500000US39113","Montgomery County, Ohio","531542","*****"
"0500000US39119","Muskingum County, Ohio","86149","*****"
"0500000US39133","Portage County, Ohio","162277","*****"
"0500000US39139","Richland County, Ohio","120589","*****"
"0500000US39141","Ross County, Ohio","77313","*****"
"0500000US39145","Scioto County, Ohio","75929","*****"
"0500000US39151","Stark County, Ohio","372542","*****"
"0500000US39153","Summit County, Ohio","541228","*****"
"0500000US39155","Trumbull County, Ohio","200380","*****"
"0500000US39157","Tuscarawas County, Ohio","92297","*****"
"0500000US39165","Warren County, Ohio","228882","*****"
"0500000US39169","Wayne County, Ohio","116038","*****"
"0500000US39173","Wood County, Ohio","130492","*****"
"0500000US40017","Canadian County, Oklahoma","139926","*****"
"0500000US40027","Cleveland County, Oklahoma","279641","*****"
"0500000US40031","Comanche County, Oklahoma","121526","*****"
"0500000US40037","Creek County, Oklahoma","71704","*****"
"0500000US40101","Muskogee County, Oklahoma","69086","*****"
"0500000US40109","Oklahoma County, Oklahoma","787958","*****"
"0500000US40119","Payne County, Oklahoma","81575","*****"
"0500000US40125","Pottawatomie County, Oklahoma","72226","*****"
"0500000US40131","Rogers County, Oklahoma","91444","*****"
"0500000US40143","Tulsa County, Oklahoma","646266","*****"
"0500000US40145","Wagoner County, Oklahoma","78657","*****"
"0500000US41003","Benton County, Oregon","90951","*****"
"0500000US41005","Clackamas County, Oregon","412672","*****"
"0500000US41017","Deschutes County, Oregon","186875","*****"
"0500000US41019","Douglas County, Oregon","109405","*****"
"0500000US41029","Jackson County, Oregon","217479","*****"
"0500000US41033","Josephine County, Oregon","86352","*****"
"0500000US41035","Klamath County, Oregon","66935","*****"
"0500000US41039","Lane County, Oregon","374748","*****"
"0500000US41043","Linn County, Oregon","125047","*****"
"0500000US41047","Marion County, Oregon","341286","*****"
"0500000US41051","Multnomah County, Oregon","807555","*****"
"0500000US41053","Polk County, Oregon","83696","*****"
"0500000US41059","Umatilla County, Oregon","76985","*****"
"0500000US41067","Washington County, Oregon","588957","*****"
"0500000US41071","Yamhill County, Oregon","105722","*****"
"0500000US42001","Adams County, Pennsylvania","102336","*****"
"0500000US42003","Allegheny County, Pennsylvania","1223048","*****"
"0500000US42005","Armstrong County, Pennsylvania","65642","*****"
"0500000US42007","Beaver County, Pennsylvania","166140","*****"
"0500000US42011","Berks County, Pennsylvania","417854","*****"
"0500000US42013","Blair County, Pennsylvania","123457","*****"
"0500000US42017","Bucks County, Pennsylvania","628341","*****"
"0500000US42019","Butler County, Pennsylvania","187108","*****"
"0500000US42021","Cambria County, Pennsylvania","133054","*****"
"0500000US42025","Carbon County, Pennsylvania","63853","*****"
"0500000US42027","Centre County, Pennsylvania","162660","*****"
"0500000US42029","Chester County, Pennsylvania","519293","*****"
"0500000US42033","Clearfield County, Pennsylvania","79685","*****"
"0500000US42037","Columbia County, Pennsylvania","65932","*****"
"0500000US42039","Crawford County, Pennsylvania","86159","*****"
"0500000US42041","Cumberland County, Pennsylvania","250066","*****"
"0500000US42043","Dauphin County, Pennsylvania","275710","*****"
"0500000US42045","Delaware County, Pennsylvania","564696","*****"
"0500000US42049","Erie County, Pennsylvania","274541","*****"
"0500000US42051","Fayette County, Pennsylvania","131504","*****"
"0500000US42055","Franklin County, Pennsylvania","154234","*****"
"0500000US42063","Indiana County, Pennsylvania","84953","*****"
"0500000US42069","Lackawanna County, Pennsylvania","210761","*****"
"0500000US42071","Lancaster County, Pennsylvania","542903","*****"
"0500000US42073","Lawrence County, Pennsylvania","87069","*****"
"0500000US42075","Lebanon County, Pennsylvania","139754","*****"
"0500000US42077","Lehigh County, Pennsylvania","366494","*****"
"0500000US42079","Luzerne County, Pennsylvania","317343","*****"
"0500000US42081","Lycoming County, Pennsylvania","113841","*****"
"0500000US42085","Mercer County, Pennsylvania","111750","*****"
"0500000US42089","Monroe County, Pennsylvania","168046","*****"
"0500000US42091","Montgomery County, Pennsylvania","826075","*****"
"0500000US42095","Northampton County, Pennsylvania","303405","*****"
"0500000US42097","Northumberland County, Pennsylvania","92029","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1580863","*****"
"0500000US42107","Schuylkill County, Pennsylvania","142569","*****"
"0500000US42111","Somerset County, Pennsylvania","74501","*****"
"0500000US42125","Washington County, Pennsylvania","207298","*****"
"0500000US42129","Westmoreland County, Pennsylvania","352627","*****"
"0500000US42133","York County, Pennsylvania","446078","*****"
"0500000US44003","Kent County, Rhode Island","163760","*****"
"0500000US44005","Newport County, Rhode Island","83460","*****"
"0500000US44007","Providence County, Rhode Island","637357","*****"
"0500000US44009","Washington County, Rhode Island","126150","*****"
"0500000US45003","Aiken County, South Carolina","168179","*****"
"0500000US45007","Anderson County, South Carolina","198759","*****"
"0500000US45013","Beaufort County, South Carolina","186844","*****"
"0500000US45015","Berkeley County, South Carolina","217937","*****"
"0500000US45019","Charleston County, South Carolina","401438","*****"
"0500000US45031","Darlington County, South Carolina","67265","*****"
"0500000US45035","Dorchester County, South Carolina","156456","*****"
"0500000US45041","Florence County, South Carolina","138566","*****"
"0500000US45045","Greenville County, South Carolina","506837","*****"
"0500000US45047","Greenwood County, South Carolina","70355","*****"
"0500000US45051","Horry County, South Carolina","333268","*****"
"0500000US45055","Kershaw County, South Carolina","65036","*****"
"0500000US45057","Lancaster County, South Carolina","92550","*****"
"0500000US45059","Laurens County, South Carolina","66848","*****"
"0500000US45063","Lexington County, South Carolina","290642","*****"
"0500000US45073","Oconee County, South Carolina","77270","*****"
"0500000US45075","Orangeburg County, South Carolina","87476","*****"
"0500000US45077","Pickens County, South Carolina","123479","*****"
"0500000US45079","Richland County, South Carolina","411592","*****"
"0500000US45083","Spartanburg County, South Carolina","306854","*****"
"0500000US45085","Sumter County, South Carolina","106847","*****"
"0500000US45091","York County, South Carolina","266439","*****"
"0500000US46099","Minnehaha County, South Dakota","188616","*****"
"0500000US46103","Pennington County, South Dakota","110141","*****"
