"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01003","Baldwin County, Alabama","203709","*****"
"0500000US01015","Calhoun County, Alabama","115620","*****"
"0500000US01043","Cullman County, Alabama","82005","*****"
"0500000US01049","DeKalb County, Alabama","71130","*****"
"0500000US01051","Elmore County, Alabama","81468","*****"
"0500000US01055","Etowah County, Alabama","103057","*****"
"0500000US01069","Houston County, Alabama","104173","*****"
"0500000US01073","Jefferson County, Alabama","660367","*****"
"0500000US01077","Lauderdale County, Alabama","92596","*****"
"0500000US01081","Lee County, Alabama","156993","*****"
"0500000US01083","Limestone County, Alabama","91663","*****"
"0500000US01089","Madison County, Alabama","353089","*****"
"0500000US01095","Marshall County, Alabama","94725","*****"
"0500000US01097","Mobile County, Alabama","415395","*****"
"0500000US01101","Montgomery County, Alabama","226519","*****"
"0500000US01103","Morgan County, Alabama","119565","*****"
"0500000US01115","St. Clair County, Alabama","87074","*****"
"0500000US01117","Shelby County, Alabama","208713","*****"
"0500000US01121","Talladega County, Alabama","80862","*****"
"0500000US01125","Tuscaloosa County, Alabama","203976","*****"
"0500000US01127","Walker County, Alabama","65294","*****"
"0500000US02020","Anchorage Municipality, Alaska","298695","*****"
"0500000US02090","Fairbanks North Star Borough, Alaska","99631","*****"
"0500000US02170","Matanuska-Susitna Borough, Alaska","101095","*****"
"0500000US04001","Apache County, Arizona","71474","*****"
"0500000US04003","Cochise County, Arizona","126427","*****"
"0500000US04005","Coconino County, Arizona","139097","*****"
"0500000US04013","Maricopa County, Arizona","4167947","*****"
"0500000US04015","Mohave County, Arizona","204737","*****"
"0500000US04017","Navajo County, Arizona","108277","*****"
"0500000US04019","Pima County, Arizona","1010025","*****"
"0500000US04021","Pinal County, Arizona","406584","*****"
"0500000US04025","Yavapai County, Arizona","222255","*****"
"0500000US04027","Yuma County, Arizona","204275","*****"
"0500000US05007","Benton County, Arkansas","249672","*****"
"0500000US05031","Craighead County, Arkansas","104354","*****"
"0500000US05045","Faulkner County, Arkansas","121552","*****"
"0500000US05051","Garland County, Arkansas","97177","*****"
"0500000US05069","Jefferson County, Arkansas","71565","*****"
"0500000US05085","Lonoke County, Arkansas","71645","*****"
"0500000US05119","Pulaski County, Arkansas","392664","*****"
"0500000US05125","Saline County, Arkansas","117460","*****"
"0500000US05131","Sebastian County, Arkansas","127780","*****"
"0500000US05143","Washington County, Arkansas","225477","*****"
"0500000US05145","White County, Arkansas","79161","*****"
"0500000US06001","Alameda County, California","1638215","*****"
"0500000US06007","Butte County, California","225411","*****"
"0500000US06013","Contra Costa County, California","1126745","*****"
"0500000US06017","El Dorado County, California","184452","*****"
"0500000US06019","Fresno County, California","974861","*****"
"0500000US06023","Humboldt County, California","135727","*****"
"0500000US06025","Imperial County, California","180191","*****"
"0500000US06029","Kern County, California","882176","*****"
"0500000US06031","Kings County, California","150965","*****"
"0500000US06033","Lake County, California","64591","*****"
"0500000US06037","Los Angeles County, California","10170292","*****"
"0500000US06039","Madera County, California","154998","*****"
"0500000US06041","Marin County, California","261221","*****"
"0500000US06045","Mendocino County, California","87649","*****"
"0500000US06047","Merced County, California","268455","*****"
"0500000US06053","Monterey County, California","433898","*****"
"0500000US06055","Napa County, California","142456","*****"
"0500000US06057","Nevada County, California","98877","*****"
"0500000US06059","Orange County, California","3169776","*****"
"0500000US06061","Placer County, California","375391","*****"
"0500000US06065","Riverside County, California","2361026","*****"
"0500000US06067","Sacramento County, California","1501335","*****"
"0500000US06071","San Bernardino County, California","2128133","*****"
"0500000US06073","San Diego County, California","3299521","*****"
"0500000US06075","San Francisco County, California","864816","*****"
"0500000US06077","San Joaquin County, California","726106","*****"
"0500000US06079","San Luis Obispo County, California","281401","*****"
"0500000US06081","San Mateo County, California","765135","*****"
"0500000US06083","Santa Barbara County, California","444769","*****"
"0500000US06085","Santa Clara County, California","1918044","*****"
"0500000US06087","Santa Cruz County, California","274146","*****"
"0500000US06089","Shasta County, California","179533","*****"
"0500000US06095","Solano County, California","436092","*****"
"0500000US06097","Sonoma County, California","502146","*****"
"0500000US06099","Stanislaus County, California","538388","*****"
"0500000US06101","Sutter County, California","96463","*****"
"0500000US06107","Tulare County, California","459863","*****"
"0500000US06111","Ventura County, California","850536","*****"
"0500000US06113","Yolo County, California","213016","*****"
"0500000US06115","Yuba County, California","74492","*****"
"0500000US08001","Adams County, Colorado","491337","*****"
"0500000US08005","Arapahoe County, Colorado","631096","*****"
"0500000US08013","Boulder County, Colorado","319372","*****"
"0500000US08014","Broomfield County, Colorado","65065","*****"
"0500000US08031","Denver County, Colorado","682545","*****"
"0500000US08035","Douglas County, Colorado","322387","*****"
"0500000US08041","El Paso County, Colorado","674471","*****"
"0500000US08059","Jefferson County, Colorado","565524","*****"
"0500000US08069","Larimer County, Colorado","333577","*****"
"0500000US08077","Mesa County, Colorado","148513","*****"
"0500000US08101","Pueblo County, Colorado","163591","*****"
"0500000US08123","Weld County, Colorado","285174","*****"
"0500000US09001","Fairfield County, Connecticut","948053","*****"
