"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US13063","Clayton County, Georgia","279462","*****"
"0500000US13067","Cobb County, Georgia","748150","*****"
"0500000US13073","Columbia County, Georgia","147450","*****"
"0500000US13077","Coweta County, Georgia","140526","*****"
"0500000US13089","DeKalb County, Georgia","740321","*****"
"0500000US13095","Dougherty County, Georgia","90017","*****"
"0500000US13097","Douglas County, Georgia","142224","*****"
"0500000US13113","Fayette County, Georgia","111627","*****"
"0500000US13115","Floyd County, Georgia","96560","*****"
"0500000US13117","Forsyth County, Georgia","221009","*****"
"0500000US13121","Fulton County, Georgia","1023336","*****"
"0500000US13127","Glynn County, Georgia","84502","*****"
"0500000US13135","Gwinnett County, Georgia","907135","*****"
"0500000US13139","Hall County, Georgia","196637","*****"
"0500000US13151","Henry County, Georgia","221768","*****"
"0500000US13153","Houston County, Georgia","152122","*****"
"0500000US13179","Liberty County, Georgia","62570","*****"
"0500000US13185","Lowndes County, Georgia","114628","*****"
"0500000US13215","Muscogee County, Georgia","197485","*****"
"0500000US13217","Newton County, Georgia","106999","*****"
"0500000US13223","Paulding County, Georgia","155825","*****"
"0500000US13245","Richmond County, Georgia","201647","*****"
"0500000US13247","Rockdale County, Georgia","89355","*****"
"0500000US13285","Troup County, Georgia","70005","*****"
"0500000US13295","Walker County, Georgia","67896","*****"
"0500000US13297","Walton County, Georgia","90184","*****"
"0500000US13313","Whitfield County, Georgia","104589","*****"
"0500000US15001","Hawaii County, Hawaii","198449","*****"
"0500000US15003","Honolulu County, Hawaii","992605","*****"
"0500000US15007","Kauai County, Hawaii","72029","*****"
"0500000US15009","Maui County, Hawaii","165379","53"
"0500000US16001","Ada County, Idaho","444028","*****"
"0500000US16005","Bannock County, Idaho","84377","*****"
"0500000US16019","Bonneville County, Idaho","112232","*****"
"0500000US16027","Canyon County, Idaho","211698","*****"
"0500000US16055","Kootenai County, Idaho","154311","*****"
"0500000US16083","Twin Falls County, Idaho","83514","*****"
"0500000US17001","Adams County, Illinois","66578","*****"
"0500000US17019","Champaign County, Illinois","208419","*****"
"0500000US17031","Cook County, Illinois","5203499","*****"
"0500000US17037","DeKalb County, Illinois","104528","*****"
"0500000US17043","DuPage County, Illinois","929368","*****"
"0500000US17089","Kane County, Illinois","531715","*****"
"0500000US17091","Kankakee County, Illinois","110008","*****"
"0500000US17093","Kendall County, Illinois","124695","*****"
"0500000US17097","Lake County, Illinois","703047","*****"
"0500000US17099","LaSalle County, Illinois","110642","*****"
"0500000US17111","McHenry County, Illinois","307004","*****"
"0500000US17113","McLean County, Illinois","172418","*****"
"0500000US17115","Macon County, Illinois","106550","*****"
"0500000US17119","Madison County, Illinois","265759","*****"
"0500000US17143","Peoria County, Illinois","185006","*****"
"0500000US17161","Rock Island County, Illinois","144784","*****"
"0500000US17163","St. Clair County, Illinois","262759","*****"
"0500000US17167","Sangamon County, Illinois","197499","*****"
"0500000US17179","Tazewell County, Illinois","134385","*****"
"0500000US17183","Vermilion County, Illinois","78111","*****"
"0500000US17197","Will County, Illinois","689529","*****"
"0500000US17199","Williamson County, Illinois","67560","*****"
"0500000US17201","Winnebago County, Illinois","285873","*****"
"0500000US18003","Allen County, Indiana","370404","*****"
"0500000US18005","Bartholomew County, Indiana","81402","*****"
"0500000US18019","Clark County, Indiana","116031","*****"
"0500000US18035","Delaware County, Indiana","115603","*****"
"0500000US18039","Elkhart County, Indiana","203781","*****"
"0500000US18043","Floyd County, Indiana","76990","*****"
"0500000US18053","Grant County, Indiana","66937","*****"
"0500000US18057","Hamilton County, Indiana","316373","*****"
"0500000US18059","Hancock County, Indiana","73717","*****"
"0500000US18063","Hendricks County, Indiana","160610","*****"
"0500000US18067","Howard County, Indiana","82568","*****"
"0500000US18081","Johnson County, Indiana","151982","*****"
"0500000US18085","Kosciusko County, Indiana","79092","*****"
"0500000US18089","Lake County, Indiana","485846","*****"
"0500000US18091","LaPorte County, Indiana","110015","*****"
"0500000US18095","Madison County, Indiana","129296","*****"
"0500000US18097","Marion County, Indiana","941229","*****"
"0500000US18105","Monroe County, Indiana","145496","*****"
