"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01003","Baldwin County, Alabama","212628","*****","183893","2066","20030","752","2172","617","2485","592","0","200","1899","1956","2149","1215","308","493","1841","1246"
"0500000US01015","Calhoun County, Alabama","114728","*****","85146","887","24183","693","254","227","1176","336","0","200","2108","933","1861","709","0","200","1861","709"
"0500000US01043","Cullman County, Alabama","82755","*****","78414","858","1076","379","0","200","414","414","0","200","543","397","2308","752","678","606","1630","549"
"0500000US01049","DeKalb County, Alabama","71617","*****","61603","2551","1109","275","762","572","0","200","0","200","5879","2562","2264","1131","513","816","1751","638"
"0500000US01051","Elmore County, Alabama","81677","*****","60736","1081","18092","789","304","228","400","410","0","200","1407","1099","738","648","0","200","738","648"
"0500000US01055","Etowah County, Alabama","102755","*****","82298","865","16066","643","1018","591","727","318","0","200","1199","918","1447","791","72","95","1375","786"
"0500000US01069","Houston County, Alabama","104346","*****","72703","239","27957","476","125","108","851","186","0","200","176","122","2534","541","378","214","2156","479"
"0500000US01073","Jefferson County, Alabama","659197","*****","340995","2799","283700","2337","1203","595","12201","756","321","465","11510","2935","9267","2119","1742","1186","7525","1741"
"0500000US01081","Lee County, Alabama","161604","*****","113361","1026","35563","1876","212","246","6452","633","0","200","502","513","5514","2204","385","410","5129","2176"
"0500000US01083","Limestone County, Alabama","94402","*****","76611","1548","12971","331","901","216","1677","337","149","285","1167","1482","926","529","0","200","926","529"
"0500000US01089","Madison County, Alabama","361046","*****","244908","1914","87843","2158","2357","718","10285","909","0","200","4498","1887","11155","2443","835","520","10320","2456"
"0500000US01095","Marshall County, Alabama","95548","*****","88908","1369","2140","564","670","387","687","104","149","196","1244","1287","1750","841","368","520","1382","638"
"0500000US01097","Mobile County, Alabama","413955","*****","244012","1558","147234","1630","3410","805","7504","1365","79","127","5038","2120","6678","1694","239","311","6439","1649"
"0500000US01101","Montgomery County, Alabama","226646","*****","82146","981","131468","1397","311","466","6747","536","51","100","2034","964","3889","1300","676","520","3213","1189"
"0500000US01103","Morgan County, Alabama","118818","*****","95425","1894","15143","672","678","561","760","331","283","471","4294","1861","2235","800","50","96","2185","807"
"0500000US01117","Shelby County, Alabama","213605","*****","171245","1965","26651","1624","571","286","3167","805","69","123","6240","2066","5662","1648","808","775","4854","1298"
"0500000US01121","Talladega County, Alabama","80065","*****","50624","723","26648","599","250","264","162","193","0","200","1328","712","1053","534","129","148","924","505"
"0500000US01125","Tuscaloosa County, Alabama","207811","*****","132278","2618","66928","574","755","909","3522","341","115","137","1768","2406","2445","1092","631","957","1814","543"
"0500000US01127","Walker County, Alabama","64058","*****","57806","441","3831","601","328","312","353","113","0","200","549","557","1191","596","0","200","1191","596"
"0500000US02020","Anchorage Municipality, Alaska","294356","*****","182307","2690","14810","1511","22906","4057","31646","2025","7791","477","7077","1855","27819","4431","1618","1027","26201","4262"
"0500000US02090","Fairbanks North Star Borough, Alaska","99703","*****","75282","1299","4541","699","7512","1550","2964","730","126","177","1084","750","8194","1997","307","328","7887","1921"
"0500000US02170","Matanuska-Susitna Borough, Alaska","106532","*****","88189","434","1540","391","6605","1101","1522","417","206","218","328","223","8142","1247","155","143","7987","1273"
"0500000US04003","Cochise County, Arizona","124756","*****","107676","1744","5042","824","1981","234","2258","531","473","208","3191","1358","4135","1318","1290","782","2845","950"
"0500000US04005","Coconino County, Arizona","140776","*****","92468","1323","1731","547","36364","1490","3259","298","633","459","1235","678","5086","1838","244","259","4842","1819"
"0500000US04013","Maricopa County, Arizona","4307033","*****","3342292","21160","235421","5951","87049","4622","179761","4524","10317","1102","291906","19110","160287","9182","30806","5298","129481","8746"
"0500000US04015","Mohave County, Arizona","207200","*****","186157","2859","2473","529","4806","1105","2525","437","141","177","6030","2620","5068","1437","787","640","4281","1210"
"0500000US04017","Navajo County, Arizona","108956","*****","51477","1492","1291","592","46635","1905","638","204","1811","1653","4424","1644","2680","960","364","343","2316","891"
"0500000US04019","Pima County, Arizona","1022769","*****","779589","9156","35898","2014","42875","4440","29936","2145","1639","557","80937","7856","51895","5212","15238","3281","36657","4752"
"0500000US04021","Pinal County, Arizona","430237","*****","351332","4014","17748","2052","19642","3800","7007","854","1160","816","12515","3425","20833","4526","3479","1720","17354","4070"
"0500000US04025","Yavapai County, Arizona","228168","*****","211172","2373","1314","374","2698","814","2814","435","0","208","4182","1973","5988","1415","146","147","5842","1412"
"0500000US04027","Yuma County, Arizona","207534","*****","168078","4829","4767","1006","3939","1390","2718","452","125","161","22100","4354","5807","1722","1820","1304","3987","1167"
"0500000US05007","Benton County, Arkansas","266300","*****","233638","1788","5199","448","4850","1039","10703","821","1486","201","4080","1442","6344","1280","1191","649","5153","1164"
"0500000US05031","Craighead County, Arkansas","107115","*****","84250","1061","13657","1674","148","143","1533","80","37","66","2495","1116","4995","1746","262","262","4733","1723"
"0500000US05045","Faulkner County, Arkansas","123654","*****","100013","2272","15116","846","210","424","1830","243","0","201","3458","2368","3027","1253","677","638","2350","1130"
"0500000US05051","Garland County, Arkansas","98658","*****","83717","1360","8358","822","537","530","271","305","0","201","2774","1369","3001","1012","125","217","2876","1002"
"0500000US05069","Jefferson County, Arkansas","69115","*****","27334","514","39567","884","159","189","856","899","0","201","704","547","495","404","83","77","412","359"
"0500000US05085","Lonoke County, Arkansas","72898","*****","64934","667","5004","621","591","230","167","187","0","201","247","225","1955","813","427","486","1528","587"
"0500000US05119","Pulaski County, Arkansas","393956","*****","219468","2518","144945","2359","781","670","8976","1049","208","331","8449","2886","11129","2503","1142","1159","9987","2328"
"0500000US05125","Saline County, Arkansas","119323","*****","104856","1253","8837","562","148","195","1505","298","194","323","1361","1256","2422","758","167","206","2255","704"
"0500000US05131","Sebastian County, Arkansas","128107","*****","93998","1845","7784","1262","1115","395","5082","1072","0","201","12232","1848","7896","1689","635","550","7261","1650"
